# wang ID 1  MUSE z
-15.062 -10.854 0.0 0.40 0.0 0.0 0.0 0
 14.053 -30.222 0.0 0.40 0.0 0.0 0.0 0
-25.207 -22.140 0.0 0.40 0.0 0.0 0.0 0
-19.570 -17.834 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 47
40 3 4.022 0.0
-12.583  29.012 0.0 0.40 0.0 0.0 0.0 0
  0.833  28.786 0.0 0.40 0.0 0.0 0.0 0
 24.160   7.585 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 147
41 3 4.022 0.0
-11.083  29.174 0.0 0.40 0.0 0.0 0.0 0
 -1.069  29.203 0.0 0.40 0.0 0.0 0.0 0
 25.156   6.653 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 39
42 3 4.015 0.0
 -8.327  27.756 0.0 0.40 0.0 0.0 0.0 0
 -7.551  27.835 0.0 0.40 0.0 0.0 0.0 0
 26.801   2.419 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 40
43 3 4.000 0.0
 -9.240  27.259 0.0 0.40 0.0 0.0 0.0 0
 -6.469  27.680 0.0 0.40 0.0 0.0 0.0 0
 26.597   3.110 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 61
44 2 2.951 0.0
-29.259 -11.732 0.0 0.40 0.0 0.0 0.0 0
-28.047 -15.318 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 50
45 2
 25.265  -4.898 0.0 0.40 0.0 0.0 0.0 0
-24.362  21.430 0.0 0.40 0.0 0.0 0.0 0

